ROI,tau
2616,0.26035450412048877
3071,0.25404944586530265
2546,0.2433752486501847
2303,0.241332764990054
2395,0.22843847684001137
2363,0.22806550156294403
2455,0.22792341574310884
2636,0.22282608695652173
5513,0.21694728616084114
2484,0.21531329923273657
2722,0.2130044046604149
2486,0.21263142938334753
2793,0.20883063370275645
2569,0.20828005115089515
2526,0.2078537936913896
2836,0.20165529980107985
253,0.20009235578289286
4991,0.19895566922421143
3155,0.19861821540210287
4978,0.19813867576015914
1878,0.19709079283887468
4933,0.1953857630008525
3070,0.19144288150042627
2659,0.1910521454958795
2756,0.1897200909349247
2301,0.18970233020744529
3154,0.18961352657004832
4226,0.18961352657004832
2813,0.18938263711281614
2723,0.18924055129298095
2398,0.18899190110826938
2817,0.187411196362603
2300,0.18659420289855072
2392,0.18641659562375676
313,0.18641659562375676
2819,0.18515558397271953
533,0.18471156578573458
2393,0.18382352941176472
4920,0.1823849104859335
2490,0.1823671497584541
5366,0.18210073884626315
4432,0.18202969593634555
5932,0.18201193520886616
4559,0.18149687411196364
5465,0.1810350951974993
2615,0.18036018755328218
2757,0.1795076726342711
4992,0.17867291844273941
2544,0.17814009661835747
3015,0.17760727479397556
5931,0.17757175333901676
2725,0.17741190679170218
4561,0.17703893151463485
2579,0.17696788860471724
971,0.17691460642227905
5936,0.17615089514066495
3021,0.17545822676896847
2812,0.17535166240409208
5190,0.17533390167661267
368,0.17510301221938052
2454,0.17439258312020461
2176,0.17433930093776642
6176,0.17384200056834329
3455,0.17220801364023872
5463,0.17188832054560954
1780,0.1714798238135834
2580,0.17044970161977835
1892,0.16984583688547883
5891,0.16982807615799944
6050,0.16970375106564364
2302,0.16885123614663256
3022,0.16764350667803354
5929,0.16757246376811594
534,0.16741261722080136
4977,0.16730605285592498
967,0.1672350099460074
2555,0.16709292412617222
4993,0.16686203466894003
4935,0.16684427394146065
2773,0.16673770957658426
2810,0.16624040920716113
5595,0.16618712702472294
362,0.1649261153736857
5305,0.1649261153736857
4563,0.16334541062801933
4739,0.16316780335322534
2545,0.16290139244103438
1588,0.16290139244103438
2792,0.16245737425404944
2525,0.16215544188689968
2724,0.1613739698778062
250,0.159757743677181
6174,0.1590117931230463
2362,0.15892298948564934
2543,0.15803495311167945
4043,0.15799943165672065
422,0.15798167092924126
2790,0.1576264563796533
352,0.15728900255754474
4942,0.15721795964762716
1779,0.15718243819266836
5935,0.15684498437055983
2489,0.1562233589087809
1431,0.15602799090650754
6084,0.15577934072179597
5893,0.1555839727195226
1426,0.1548025007104291
4934,0.1546426541631145
251,0.15450056834327935
311,0.15434072179596475
3970,0.15300866723500994
3454,0.1525824097755044
1877,0.1520140664961637
2270,0.1519075021312873
4224,0.15164109121909633
2583,0.15137468030690537
424,0.151268115942029
4156,0.15069977266268827
2760,0.14977621483375958
3451,0.1496696504688832
1894,0.14950980392156862
1073,0.14927891446433647
2502,0.14869281045751634
3349,0.14846192100028416
2198,0.14840863881784597
425,0.14801790281329924
4740,0.1475738846263143
314,0.1473962773515203
644,0.14721867007672634
5596,0.14709434498437057
5930,0.1467924126172208
4738,0.1467213697073032
2199,0.14654376243250924
969,0.14624183006535948
5897,0.14622406933788007
3971,0.14585109406081273
2769,0.14574452969593635
4994,0.14567348678601877
5136,0.1452649900539926
2822,0.14485649332196646
5319,0.14474992895709007
643,0.14428815004262574
3069,0.1439329354930378
4627,0.1438618925831202
1796,0.1438441318556408
2635,0.14380861040068202
4859,0.14380861040068202
1546,0.14359548167092925
3245,0.14348891730605284
190,0.1431869849389031
2496,0.1425298380221654
6052,0.1424587951122478
4154,0.14213910201761865
5042,0.14199701619778346
4297,0.1416773231031543
3094,0.14153523728331913
4693,0.14128658709860756
5898,0.14126882637112817
1428,0.14118002273373118
6286,0.14105569764137538
2399,0.14100241545893719
2394,0.140949133276499
3820,0.1408958510940608
4976,0.1408425689116226
625,0.14078928672918442
2561,0.1403985507246377
2640,0.14034526854219948
1794,0.14002557544757033
5321,0.13967036089798238
535,0.13922634271099743
4919,0.13919082125603865
1475,0.13887112816140948
2299,0.13887112816140948
5294,0.13872904234157432
2066,0.1381429383347542
5550,0.13789428815004262
4397,0.13739698778061948
5859,0.13739698778061948
5103,0.13725490196078433
2236,0.13714833759590792
1470,0.13695296959363457
3023,0.13691744813867576
