,ROI,tau
0,11675,0.16784173084110995
1,18103,0.16757808276726993
2,3549,0.16629922743546252
3,15778,0.16324603755633604
4,9797,0.16080401078686662
5,3294,0.1527903140609217
6,15744,0.15069194104909373
7,7910,0.15051772017780413
8,7830,0.14644160048435867
9,11710,0.14630398453017499
10,15248,0.1458438746227531
11,924,0.1442545725256157
12,8745,0.14398814433148918
13,816,0.14091317684345137
14,3518,0.13854127088565366
15,8777,0.13812718741408656
16,9862,0.1371473494642091
17,11662,0.13709390937425664
18,4086,0.13675504360155308
19,11680,0.1353289963456863
20,533,0.13481173952126324
21,856,0.13335989892718242
22,3335,0.13287198781689502
23,502,0.13273066503566266
24,8847,0.13246377348815508
25,1772,0.13050656880643258
26,7875,0.12994822798221956
27,7051,0.1282455587578423
28,12409,0.12817003215672462
29,3864,0.127701581888443
30,13922,0.12615444494898476
31,875,0.12611675887398943
32,18043,0.12603767989695014
33,4018,0.12533415501332912
34,5845,0.12531222295329084
35,3548,0.12496069218817084
36,3978,0.12427091345485546
37,842,0.12386455253963984
38,3252,0.12371674281107223
39,8864,0.12356337284193157
40,14454,0.12259743549348671
41,8764,0.1224709400204493
42,8813,0.12202380400769779
43,412,0.12127054586117306
44,13953,0.12124598813197537
45,418,0.12109756059889958
46,3326,0.12064625440571837
47,4344,0.12020344302452374
48,9827,0.11963073824549685
49,1384,0.11886944864036664
50,15279,0.1187142252577017
51,5762,0.11865290816027078
52,1474,0.11855575840136902
53,16585,0.11832392725969722
54,17628,0.11821920939557093
55,15743,0.117599088120546
56,5089,0.11749560586543595
57,3256,0.11709248842388802
58,532,0.11698298257482383
59,8731,0.11697541446959935
60,893,0.11675269594442221
61,17097,0.11671748108745947
62,3382,0.11652673394557753
63,1345,0.1155062753492912
64,3345,0.11527923219255726
65,11764,0.11526733945577597
66,12936,0.11498546614894649
67,10750,0.11470112162408448
68,7885,0.11449153144470496
69,4648,0.11408872290541103
70,1804,0.11396500755266002
71,2116,0.11379959039561102
72,11174,0.11362923080249711
73,7544,0.11340002532998478
74,4222,0.1132809435110448
75,17144,0.11307506015871395
76,862,0.1129447034075007
77,3232,0.1126938747772042
78,3316,0.1125179549435171
79,7852,0.112506680011244
80,12705,0.1124620436355324
81,11170,0.11245648339495931
82,3374,0.1122776289898587
83,3385,0.11207962264500637
84,7918,0.11133424150596019
85,3796,0.11091289883142276
86,7964,0.11079026463656097
87,16057,0.11069481384005656
88,15795,0.11023532173714261
89,3750,0.10992039588912879
90,14818,0.10989089572386605
91,7883,0.10980409419047522
92,835,0.1096480985521751
93,1863,0.10958909822164965
94,14773,0.10953704819184064
95,451,0.10924158318583244
96,3297,0.10918922425376934
97,3441,0.10901407667571746
98,14805,0.10897824401424652
99,4665,0.10883275105258441
100,5303,0.10848044803182927
101,827,0.10827811705542015
102,3263,0.10793878792933548
103,2389,0.10784565389973644
104,12451,0.10747358113472151
105,5058,0.10746385071371857
106,806,0.10741041062376634
107,6103,0.10719402459479743
108,14785,0.10713332530187468
109,5869,0.10696466467115813
110,5357,0.10685392321307767
111,14497,0.10676187034136786
112,5850,0.10669545635674499
113,3989,0.10665360010131994
114,3408,0.10663089578564652
115,11677,0.10655089010184504
116,8057,0.10641203853864516
117,3378,0.10625140936653411
118,3339,0.10596521142814776
119,15569,0.10596073234546383
120,17182,0.10576427051188192
121,3413,0.1051890945148226
122,4864,0.1051110966956725
123,9828,0.10479339072737212
124,5868,0.1047691419004284
125,4024,0.1046815681114024
126,3813,0.10458441835250068
127,7862,0.10442564259391401
128,18120,0.10436308988746688
129,141,0.10434131227855566
130,7921,0.10407148615963449
131,4004,0.1039689306112866
132,1391,0.10366373518427566
133,4556,0.1036115307033395
134,3349,0.10359546778612837
135,11207,0.10349121327538321
136,7829,0.10342387258399821
137,9080,0.10330015723124725
138,3428,0.1031665570063664
139,4532,0.10299882308241202
140,7119,0.10283711275241174
141,12921,0.10278228260231614
142,1373,0.10239785374713874
143,14800,0.10207613204953554
144,11141,0.10190500020078645
145,3460,0.10183719615602028
146,14832,0.10176074284814057
147,5038,0.10173819298359411
148,9243,0.1015420400522662
149,11160,0.10144550809787253
150,16444,0.10103374139321093
151,3753,0.10101536170909435
152,1975,0.10098632489721265
153,8011,0.10068746196640989
154,16420,0.10057811056847275
155,6943,0.10049100013282795
156,7557,0.10046180886981927
157,5169,0.10040311744154788
158,11443,0.10038705452433679
159,5073,0.10022642535222576
160,3602,0.10010749798441278
161,19100,0.10009714975890179
162,7057,0.10002872790962752
163,7751,0.1000245577291977
164,14880,0.09993806509806097
165,4601,0.09982886815125087
166,3434,0.09980029469275033
167,13914,0.09977434690340932
168,7978,0.09972955607657069
169,18523,0.09944366704043836
170,11745,0.09943609893521395
171,16859,0.09938605677005621
172,5775,0.09932149619895772
173,8812,0.09919144834999853
174,15571,0.09913692710215703
175,11332,0.09911700290677017
176,12511,0.0990969242602563
177,16465,0.09903498935831728
178,1765,0.09899081633598673
179,15363,0.09895745489254833
180,14338,0.09893938411068584
181,12834,0.09893505947912899
182,11022,0.09892795472728562
183,19033,0.09886910884788723
184,14586,0.09886092293815466
185,19255,0.0985589709848112
186,13292,0.09827632542234653
187,7949,0.09820790357307235
188,14938,0.09818133797922321
189,3347,0.0981705264003311
190,7892,0.09808635053609975
191,18856,0.09807059652114274
192,11639,0.0980438764761666
193,4447,0.09782980721410321
194,18416,0.09780787515406494
195,8425,0.09778393522937537
196,9792,0.09776138536482898
197,15089,0.09775582512425593
198,4583,0.09766176438789467
199,13550,0.09763473544066449
200,16479,0.09757310944097958
